sentence1,label
it would not allow me to control all four sections of the keyboard independently,0
the cover which is a brushed rubber/plastic seems to scratch easily.,0
the USB adapter which is not working.,0
Playing all games max settings and running smooth,0
the beautiful touchpad with it's real buttons.,0
Display is bright and sharp.,0
"they are lighter, usually faster, and less glitchy/problematic",0
The battery life is wonderful and lasts quite long.,0
"Powerful- game performance exceeded my expectations, even with just 8 gig of RAM",0
Keys feel great for typing and gaming,0
I found the keyboard very uncomfortable for gaming,0
"air is pulled from the bottom of machine, but there's relatively little clearance and thus restricted airflow that can slow performance.",0
you have to use the USB connector to open the port slightly so that you can insert it,0
"It has a 256gb solid state hard drive, which makes it lighter and faster.",0
one of the fans rattled a little after awhile,0
The top design is nice,0
It works like a beast and transferring over my stuff onto this new one was super easy.,0
Keyboard lighting is nice.,0
The single channel RAM slows things a bit.,0
You get plenty of CPU horsepower and lots of blazing fast storage for a laptop.,0
the fans take off like a jet and I get stuck on a black screen,0
"The most I would use this laptop for is web browsing, office work, and basic coding (preferably with google colab)",0
the internal 64G EMMC is too limited,0
"when I open the game, you can hear a little electricity noise.",0
"After ~2 months, I noticed a fan rattling noise when placing laptop horizontally on the desk.",0
Speaker volume is very low,0
the backlight keyboard has stop working and the AlienFX software is very buggy and crashes,0
It has overheating issues even when games aren't on ultra settings.,0
"It is a quick, thin laptop with great internal components.",0
there is a lot of bloatware that this machine comes with,0
The speakers are located at the bottom of the laptop which tends to muffle the already lackluster audio coming from this product,0
"Sturdy, with a nice keyboard and screen for my tastes",0
Liquid cooling system to keep her gaming PC running cooler and quieter,1
after having it for about a week the fingerprint sensor does not activate leaving me to use my password to log on.,0
"The hardware is sleek, and I was unexpectedly happy with the RGB backlit keyboard\lid.",0
Screen is a little dim in the sun,0
The windows button is nip picking. No points taken off. It's just annoying.,0
having a very sophisticated unassuming design for those looking for a less noticeable gaming laptop,0
I use this laptop for casual video/photo editing and this laptop can easily finish these tasks due to its high-performance 6-core processor and amazing GTX 1060 graphics card,0
"It does look like a sleek, high tech seal and its little pulsing glow keyboard makes me feel like I'm on the bridge of the Enterprise.",0
I put it in my backpack with the power brick and its heavy.,0
The first thing you'll notice is how FAST this baby is,0
The display is bright enough,0
"it contained norton, and norton is a pain to delete and get rid off",0
It is well built and really a great laptop for the price,0
A very kind guy who answered many questions I had,0
"The keyboard lights up and changes colors, which is pretty cool I must say.",0
"reach 84 to 90 for the CPU and approximately 80ish for the GPU, making this laptop a frying pan",0
The cpu fan started wearing down and now makes a buzzing noise,0
Only issue is the lack of space,0
I would have been fine with a longer space bar.,0
"a customizable keyboard and trackpad, specifically designed for productivity or creative tasks, providing a more immersive and responsive experience for your graphic design work.",1
the power brick is big and clunky and the transformer is on the end.,0
It's consistently good for several hours of productivity,0
Backlight bled up from the bezel,0
Touchpad is good for browsing the web,0
the power button is a little bit too easy to press,0
It did not have much bloatware.,0
The graphics are good,0
i am sad they removed the fancy looking wooden line at the back of the screen like the previous models.,0
This is a great laptop for the price and the visual design of it is fantastic.,0
The multi monitor support works super well.,0
"I was completely blown away at the size, power, and design of this laptop",0
it is so much lighter and more portable,0
the trackpad really isn't all that great--it occasionally just misses input,0
A computer that can be controlled via augmented reality,1
The touchscreen is every bit as good as any I have ever tried.,0
The general feel of the laptop is sturdy and the aluminum finish is a nice find for a laptop under $1G,0
The battery life was TERRIBLE,0
"its a quick machine, runs on an AMD chip and a radeon graphics video chip.",0
The SSD died within 5 months,0
"The keys are brightly lit as shown in the pictures, the keys also are good quality and give a good tactile feedback when typing.",0
"It works as advertised, is reasonably fast and easily expandable.",0
the speakers are pretty weak. I wish they were louder and had more bass presence.,0
the keyboard is not the best,0
"Cost is less than half my high end laptops, and this is more convenient, lighter, more battery power, and almost as good graphic performance.",0
notice the mouse pad has a few issue dragging in the top right and lower left corners,0
"when i first opened the box, you get 2 extra goodies- a carrying sleeve and an optical mouse!",0
he laptop is very quiet and feels super thin.,0
Fantastic build quality with a clean CNC Aluminium structure and finish.,0
"It is light weight, has a touch screen, pencil and everything you could possibly want.",0
It's quite light to carry and of course a normal size so it fit easily in my backpack.,0
"Everythings working great out of the box, very powerfull, sound and display is amazing.",0
I don’t love that the power connection is on the side of the device.,0
I do think it is a bit limited on the overall number of ports--everything is on the left side aside from the headphone jack,0
Wireless network on my AC network is amazingly fast.,0
It is a very cool laptop with good hardware preference,0
Removable keycaps for customizing,1
"I run hard Cuda workloads, so I need a fast machine with an NVIDIA GPU.",0
"a motherboard that supports ECC memory, allowing you to upgrade to error-correcting code (ECC) memory for improved reliability and performance.",1
the brightness isn't adjustable like it was on my previous laptop,0
"Very light and thin for a 17"".",0
"I bought this laptop because I wanted to experience gaming at its fullest, and this laptop sure does deliver",0
Fans sound like a jet engine about to take off when the cooler boost is activated,0
the graphics are amazing.,0
it is still very capable of toting in a briefcase,0
"not all of the body feels so solid, especially around the edges",0
There was hardly any bloatware,0
Play's every game I have tried without issue.,0
The touch screen is easy to use.,0
"speaks don't work very well, issues with hearing youtube videos, sound quality poor",0
The screen perhaps not terribly accurate.,0
the camera is not only in the lower right of the screen,0
the ac adapter is way too short,0
it's a little off-putting when you have your game drowned out by the sound of a noticeably loud whirring of laptop fans.,0
"With the rise of blockchain technology, computers could integrate distributed computing frameworks, allowing for decentralized processing and secure data storage. This novel need would enable faster and more reliable data processing, enhance privacy and security, and support decentralized applications across various industries.",1
"Great Alienware options like keyboard colors, etc.",0
It is really light and thin so I can take it when I travel.,0
"Customer Service is to be commended , they immediately reached out to me via email to notify me of their free offer of a laptop bag.",0
"The font used for key labels is weirdly futuristic, and at the cost of legibility.",0
I was kinda shocked to see that housed the power supply and then a much more sleek box that had the laptop inside.,0
The build quality is strong and charming,0
I think the interesting LCD hinge design of Zenbook 14 actually helps with cooling (more than ergonomics as advertised) by elevating the air intake grill at the bottom for better air flow.,0
Large ips display pefect for movies and a fast refresh rate for shooter games.,0
Gaming performance is really good for something this thin with the 2080 Max-Q.,0
The cooling system performs well.,0
"I used the NVIDIA optimized selections, the game didn't run fast",0
"It is so thin and light, which make it convenient to do my work on",0
the Thunderbolt 3 port only has a single display channel,0
It has a lot of power under the hood in a very nice and easy to use package.,0
I'm very happy about the battery life that allows for hours of use on the go.,0
it came with an offer for a free headset (Steelseries Siberia 200) for leaving a review,0
The screen is nice and the 14 inch size is a nice compromise vs the larger 15.6 and 13 inch sizes.,0
The touchpad mouse area and screen are both responsive,0
"I felt the laptop as I ran my fingers on her keyboard, never got stuck at all and the key presses were smooth.",0
I noticed that the area next to the trackpad was dirty - as if someone had mud or dirt on their hands and touched that area.,0
i have used it for gaming and adobe/affinity design with some video editing and it has been great Very fast and eats anything i throw at it,0
I noticed a bit of coil whine,0
Screen itself is nice and sharp and does run at 120hz.,0
Wish it had another thunderbolt 3 port,0
The battery life seems to last forever.,0
I purchased this laptop because I was looking for something affordable to get work done on and to watch some videos through YouTube and Netflix.,0
The keyboard is backlit which is nice.,0
"When down loading something, or when you are swipe up and down the menu, you can hear annoying sound.",0
The stylus has also turned itself off a few times randomly in the middle of using it.,0
"Runs great, feels smooth, light weight and slim.",0
"The RGB lightning on this looks really good, the keyboard feels great.",0
"I actually like the keyboard as it feels solid, good typing performance, and good enough feedback in the keys to let you feel that you are typing.",0
Fan stays peacefully quiet,0
The RGB lighting looks amazing and it has some nice light show collections but I really wish there was a save and share option,0
"when playing video games, the fans run even at higher speeds, w/o pressing on the area it will make that weird sound and will be really loud when pressed on",0
The fans can be a bit loud when the system is under load,0
Keyboard is clearly the worst design i have ever seen.,0
Easy to monitoring the basic information by software and control the fans and colour of the keyboard,0
Keyboard feels great and the extra width on the spacebar is a nice touch.,0
"Beautiful screen and keyboard, thin and light.",0
The fan noise is a little bit......loud,0
Great size considering what it has packed inside .69 inches thick x 14” wide x 10” deep,0
This is much stronger than traditional glass screens,0
The Speaker sound quality is REALLY bad.,0
"the display is bright, crisp and clean.",0
Fan not make sound which is quite good.,0
It's new and loaded with specs.,0
The keyboard font is goofy and the track pad buttons feel old school,0
the graphics just look amazing while I play Overwatch and WoW,0
"the laptop screen is not actually hooked up to the 1660TI, but to the onboard integrated video",0
"I got ""The Blue Screen of Death""",0
the speakers are good and there's an equalizer accessible via pre-installed software,0
It's too slow to play League of Legends or video games.,0
it does a wonderful job of keeping everything cool,0
Nice and slim and I use it for school work.,0
"Its build quality is solid, having its body made of an aluminum alloy.",0
Sound is very good,0
"It would be better if the screen is foldable, flexible or even expandable so I can enjoy both the big sceen and small weight at the mean time.",1
E-ink display for real-time information,1
The speakers are the best Laptop speakers i have ever had,0
The downside is the fans are loud.,0
"The laptop is really very nice, and you have a good product for the price",0
My laptop would give me a BSOD more often than not.,0
"whenever you try to pick it up, there us a creaking sound of some kind",0
The shipping was fast arrive a day faster,0
At times the fans get a little loud,0
The touch-pad is not that precise,0
it does get the computer pretty hot,0
The sound is tinny and terrible.,0
"The design is very appealing too, with a decent track pad.",0
Very aesthetic design with the thin bezel and gold lining.,0
this is definitely a solid machine and the Tablet Mode is superb,0
The battery life is more than satisfactory and lasts for several hours doing productivity tasks/Web browsing without video.,0
"It has a full-size keyboard with slightly raised keys, so it's easy to touch type, and I am able to render videos and 3D images in a fraction of the time it'd normally take on my desktop pc.",0
I do like the fingerprint ID start-up feature that we've all become accustomed to with our phones.,0
MSI will always have your back when it comes to their customers and products.,0
Fingerprint sensor is pretty consistent and accurate.,0
"it is a pretty nice machine with very respectable specs, speed and parts list.",0
Screen is a good size with good resolution.,0
the gold trim and the profile are just a little less cool in person.,0
I wanted a laptop with comparable quality and good looks at a lower price.,0
"The NVME SSD is super fast as intended, and graphics look amazing",0
"It boots quickly, and it runs fast.",0
I was looking for something powerful but small and thin. This Ultrabook fulfills those characteristics.,0
it never got past the initial setup.,0
The screen is crisp and vibrant,0
"Much quieter than I expected, even when the fans are at full speed, the noise is minimal, when using headphones the fans cannot be heard at all.",0
Transferring from our camera card straight to the portable hard drive is so easy,0
RTX 2070 Max Q is more than plenty for the latest and greatest,0
I like the fact that I can turn on the built in intel gpu (UHD Graphics 630) vs having the Nvidia GPU on all the time. This in turn means the battery will last longer on basic use.,0
My only grip in the power cord easily slips out the charging port because of the weight and gauge of the cord,0
I love that the keyboard is backlit,0
it runs very hot. I even bought a cooling pad but that helps miminal.,0
it seems to run super fast and efficient,0
its absolutely confortable to type on and very customazible,0
This is a powerful gaming laptop that is lighter and thinner than I would have ever expected.,0
"The power brick alone weighs a pound, so all in you’re lugging 8 lbs on your back.",0
while setting up I got to the fingerprint part of setup and it locked up,0
The eMMC storage is freaking slow.,0
It took awhile for me to get use to the touchscreen,0
Surprisingly fast 2 in 1 tablet for the price,0
"Screen is fantastic, sharp clear good colors.",0
the left ctrl key has lost a significant amount of travel.,0
"I do not know how one day I start listening to music with the laptop speakers to the maximum and a noise is heard on the right side, immediately I disassemble the laptop to see what it has and I get the surprise that a pad is missing.",0
I really like that it's shell is made from metal.,0
"Screen bezel very slim, had Predator 17"" 980m and Alienware 17 r5 1070",0
"they've put the power brick at the end of the cord, so it takes up a lot of space on a power strip",0
it is a very powerful laptop that is also quite light for how powerful it is.,0
The screen to body ratio is great.,0
the speed at which the computer boots and processes information is amazing,0
"The input ports are very rough. I had a tough time plugging in a USB, HDMI or my 3.5mm into their relevant ports; really had to push it in there.",0
"The internet speed and ability for the computer to take multiple windows, downloads and gaming at one time and not over heat is my favorite feature",0
this laptop is a lack of an ethernet or HDMI port.,0
Stylus pen has issues at times an computer has been freezing past day or so,0
require just a little more resistance to depress,0
"the terrible USB port locations. 2 ports on the mouse side, directly in the middle, and then just one USB on the left side",0
The per key lighting is awesome.,0
Exelent gaming performance in a thin and light chassis.,0
The Monitor is 144hz with nice colors & small bezel,0
"Fast, light, and great for gaming.",0
It has a large number of ports,0
this laptop gets super hot,0
The 16Gb of fast ram is nice,0
The port on the left is really fast,0
This computer loads super fast and runs really quick,0
The touch screen is very nice,0
It can handle any game perhaps not at highest settings but it's well worth the money,0
The speakers are noticeably louder and has good quality than typical laptops.,0
The windows 10 runs fast.,0
I found myself often pressing it by accident when I meant to press the delete key which is right next to it and of a similar size.,0
The material is too much of a finger print magnet; frequent marks visible on the palm rests and behind the display panel.,0
"it's gorgeous -- black and gold, slim, nice detailing.",0
This laptop is pricey,0
I called MSI technical support (not amazon) and they gave me steps to get it to work. Which were basically what I had done on my own,0
the keyboard has very good feeling to it,0
A need for an anti-theft system for windows with motion detection technology,1
I like the all metal design and the fact that it is under 5lbs.,0
a blazing fast and beautiful 144hz screen to make full use of the powerful ray tracing-enabled graphics card.,0
"Despite the fact that my old laptop was 17"" and this is 15"", I find it's easier on the eyes and has a far better display.",0
"The Keyboard is very clicky, and mechanical.",0
the top of the laptop gets really hot even intolerable to the touch,0
The key-board is crisp and easy to type on.,0
Not comfortable when playing at night,0
I'll get weird super-laggy mouse behavior every few days.,0
The keyboard is well lit and has larger keys.,0
The main problem I found with the laptop is that it heats up very quickly,0
"gap near web cam left size is bigger than the right side, mouse in certain parts looks lower",0
Much bulkier than the previous model so it means less portability than the 1060gtx.,0
The screen looks great,0
The fingerprint security is terrific - works very well.,0
Edge-detection technology to detect accidental or unintentional touches on the touch screen,1
Out of the box had this odd micro-stutter unless you ran it with the dedicated graphics or integrated graphics only.,0
Large screen with bright crisp graphics,0
The SSD portion of the computer allows instantaneous start and shut down to make a full restart occur in just seconds.,0
I bough this to use all through collage and how small and light it is is very good,0
Key travel is decent and the keyboard is sufficient size for all but the meatiest fingers. Backlighting is GREAT. There are six RGB zones if you're into that sort of thing too.,0
"Integration of artificial intelligence (AI) to assist users in tasks such as organizing files, prioritizing emails, and suggesting optimized workflows for enhanced productivity.",1
It is blazing fast with the intel 720p 512GB and a 2tb for mass storage.,0
The overall design is super sleek and sexy. I like the black steel look.,0
screen plays them beautifully with that high refresh rate,0
"Although I paid for a an over night shipping, this unit came in much later than then what when it's supposed to be delivered.",0
Default touch pad driver is annoying the left side and bottom sides of the touch pad causes random scrolls that are not intended,0
"The screen is bright, and the keyboard is solid despite the low travel and shift key, to which you will adjust to quickly.",0
The built-in camera and microphone provide excellent quality for videoconferencing and other AV needs.,0
"whatever rubberized finish they placed for the wrist-rest, and the vents directly above the CPU/GPU",0
"I'm able to run at the highest graphic settings, with ray tracing set to it's highest and also get very playable frame rates.",0
Silent mode is unusable. Its too slow for me,0
it does not come with the limited white box,0
It came to me with 1 stuck pixel that over the past couple days has turned into 4.,0
"The aluminum body is sleek, lightweight, and well built.",0
"despite being light, the weight is proportioned perfectly. When using one hand to open the laptop, the bottom is heavy enough to not be lifted up with the screen.",0
The gold looks super sleek and its just overall a beautiful thing.,0
I contacted Razer for the extended warranty and they refuse to give it to me unless I live in the USA,0
"For gaming, the graphics are very smooth and fast, so it makes things very comfortable.",0
booting up the unit was fast,0
"I wanted a new machine that was lighter, had better battery life and was just as powerful for my gaming needs",0
"The first thing to like about this laptop is the CPU: the i7-8565U is a four-core, 8 thread design with a base 1.8 GHz base clock, a turbo clock of 4.6 GHz (!), and an 8 MB on-die cache.",0
SteelSeries Engine 3 MSI Per Key RGB Keyboard (multi-color back lit keyboard with different colors and lighting options) easy to type,0
"Computer boots up in about 5 seconds, cold bootup to desktop.",0
"The design is very contemporary, slim, portable and very light",0
the touchpad has a mind of its own,0
"This laptop feels well, looks great, and performs like a champ",0
The box was already open and it looks like someone used it.,0
Speakers sound decent for a laptop,0
A laptop that can be locked remotely for added security,1
I am a fan of the steel series keyboard,0
it's running Windows 10 and it's *snappy*,0
It's not good for color accurate work,0
The keyboard has enough travel to keep me happy and the screen looks beautiful.,0
The price for performance here is great.,0
The Wi-Fi will lose internet connection for no reason.,0
"The keyboard RGB is awesome, key customization with SteelSeries engine works like a charm",0
Clean installation with a new m.2 SSD (512GB) was pretty fast,0
I wish it did come with at least a 500GB SSD since the space on this will be filled up soon,0
Power cord plugin is placed a third way down on the right side of the computer,0
Not only does it make it feel very well made and premium (especially for the cost!) but it also allows CHUWI to avoid using fans on this laptop,0
Fantastic display regardless of being 1080p,0
"Purchased because it had most of the features I was looking for, light enough for travel, and the aesthetics were a bonus.",0
It's extremely lightweight for how powerful it is.,0
"System at or around idle, I saw 86 degree frequently, and fans constantly pulse between quiet and the next level",0
"Excellent build quality, BEAUTIFULLY designed and made",0
I like the touchscreen.,0
Top of the laptop is metal and the rest is a super sturdy brushed plastic.,0
MSI's customer support is a joke too. I submitted several tickets with little to no effect.,0
